College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",BY,Bio Medical (SS),195,191.5,193.5,188.845,184,164,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",CE,Civil Engineering,193,190,192,187,183,173.5,177.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",CM,Computer Science (SS),199.5,199,198.5,199,196,178,192
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",CS,Computer Science,200,200,199.5,199.5,198.5,185.5,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",EC,Electronics &Communication,200,199.5,198,198.5,195,186,180.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",EE,Electrical & Electronics,198,197.5,195,195.5,189,176.5,171
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",EM,Electronics &Communication (SS),199,198.5,197.5,197,191.5,190,175.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",GI,Geo Informatics,191,188.5,188.5,187.5,179.5,159.5,155.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",IE,Industrial,189,184.5,185.5,179.5,169.5,148,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",IM,Information Technology (SS),199,198.5,198,198,191.5,176,182.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",MA,Material Science (SS),187.5,182,184,176.5,171.5,173,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",ME,Mechanical,195.5,193.5,191,191.5,182.5,168,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",MI,Mining,187,181.5,174,175,170.5,163,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",MN,Manufacturing,186,179,182,179.89,165,136.5,135
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",PT,Printing & Packing Technology,181.955,170.5,173,171.5,162,131,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",XC,Civil Engineering (Tamil Medium),180.5,174,161,165.5,166,157.5,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",XM,Mechanical (Tamil Medium),180,175.5,175.5,168,166,,134.5
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",AP,Apparel Technology (SS),166.5,156,160,152,141.5,118,129
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",CH,Chemical Engineering,192.5,190,187,184.5,177,171.29,
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",CL,Chemical Engineering (SS),189.5,185.5,185.5,182.5,164,151,140.5
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",CR,Ceramic Technology (SS),170.5,157.5,152,155.5,146.5,140,
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",FS,Food Technology (SS),189,177.615,178.5,175,167.5,176.47,
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",IB,Industrial Bio Technology,190,187,186,181.5,185,152.5,
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",IS,Industrial Bio Technology (SS),186,184.5,182.5,177,179.5,,144
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",LE,Leather Technology,168,156.5,161,153.5,143.5,141.5,147.5
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",PM,Pharmaceutical Technology (SS),181,171,166.5,169,167,125.5,
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",PP,Petroleum And Technology (SS),176.5,168.5,173.5,163,150.5,137.5,
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",TX,Textile Technology,169.5,160.5,153,162.5,142,144,
4,"University Departments of Anna University Chennai - MIT Campus, Chrompet, Chennai.",AE,Aeronautical,195,192.5,191.5,191,184.545,159.5,
4,"University Departments of Anna University Chennai - MIT Campus, Chrompet, Chennai.",AT,Artificial Intelligence & Data Science (SS),198,197,196,197,188.5,187,175.5
4,"University Departments of Anna University Chennai - MIT Campus, Chrompet, Chennai.",AU,Automobile Engineering,190,180.5,188,183,172,163.405,136.5
4,"University Departments of Anna University Chennai - MIT Campus, Chrompet, Chennai.",CM,Computer Science (SS),198.5,198,197,197,190,,175
